date,exposure,r_v30,r_v31,qqq_ret
1986-07-24,1.0000,0.00074000,0.00074000,0.00074000
1986-07-25,1.0000,0.00668000,0.00668000,0.00668000
1986-07-28,1.0000,-0.01856000,-0.01856000,-0.01856000
1986-07-29,1.0000,-0.00891000,-0.00891000,-0.00891000
1986-07-30,1.0000,0.00221000,0.00221000,0.00221000
1986-07-31,1.0000,0.00130000,0.00130000,0.00130000
1986-08-01,1.0000,-0.00354000,-0.00354000,-0.00354000
1986-08-04,1.0000,-0.01152000,-0.01152000,-0.01152000
1986-08-05,1.0000,-0.00464000,-0.00464000,-0.00464000
1986-08-06,1.0000,-0.00925000,-0.00925000,-0.00925000
1986-08-07,1.0000,0.00109000,0.00109000,0.00109000
1986-08-08,1.0000,0.01140000,0.01140000,0.01140000
1986-08-11,1.0000,0.02213000,0.02213000,0.02213000
1986-08-12,1.0000,0.01116000,0.01116000,0.01116000
1986-08-13,1.0000,0.01209000,0.01209000,0.01209000
1986-08-14,1.0000,0.00782000,0.00782000,0.00782000
1986-08-15,1.0000,-0.00278000,-0.00278000,-0.00278000
1986-08-18,1.0000,-0.00335000,-0.00335000,-0.00335000
1986-08-19,1.0000,-0.00316000,-0.00316000,-0.00316000
1986-08-20,1.0000,0.00783000,0.00783000,0.00783000
1986-08-21,1.0000,0.00173000,0.00173000,0.00173000
1986-08-22,1.0000,0.00626000,0.00626000,0.00626000
1986-08-25,1.0000,-0.00683000,-0.00683000,-0.00683000
1986-08-26,1.0000,0.00833000,0.00833000,0.00833000
1986-08-27,1.0000,0.00575000,0.00575000,0.00575000
1986-08-28,1.0000,0.00019000,0.00019000,0.00019000
1986-08-29,1.0000,-0.00225000,-0.00225000,-0.00225000
1986-09-02,1.0000,-0.01553000,-0.01553000,-0.01553000
1986-09-03,1.0000,0.00324000,0.00324000,0.00324000
1986-09-04,1.0000,0.01054000,0.01054000,0.01054000
1986-09-05,1.0000,-0.01137000,-0.01137000,-0.01137000
1986-09-08,1.0000,-0.02082000,-0.02082000,-0.02082000
1986-09-09,1.0000,-0.00537000,-0.00537000,-0.00537000
1986-09-10,1.0000,-0.00697000,-0.00697000,-0.00697000
1986-09-11,1.0000,-0.04336000,-0.04336000,-0.04336000
1986-09-12,1.0000,-0.02471000,-0.02471000,-0.02471000
1986-09-15,1.0000,-0.00068000,-0.00068000,-0.00068000
1986-09-16,1.0000,0.00202000,0.00202000,0.00202000
1986-09-17,1.0000,0.00875000,0.00875000,0.00875000
1986-09-18,1.0000,0.01282000,0.01282000,0.01282000
1986-09-19,1.0000,0.00234000,0.00234000,0.00234000
1986-09-22,1.0000,0.01205000,0.01205000,0.01205000
1986-09-23,1.0000,-0.00394000,-0.00394000,-0.00394000
1986-09-24,1.0000,-0.00234000,-0.00234000,-0.00234000
1986-09-25,1.0000,-0.01161000,-0.01161000,-0.01161000
1986-09-26,1.0000,-0.00019000,-0.00019000,-0.00019000
1986-09-29,1.0000,-0.01488000,-0.01488000,-0.01488000
1986-09-30,1.0000,0.01448000,0.01448000,0.01448000
1986-10-01,1.0000,0.00562000,0.00562000,0.00562000
1986-10-02,1.0000,-0.00030000,-0.00030000,-0.00030000
1986-10-03,1.0000,0.00245000,0.00245000,0.00245000
1986-10-06,1.0000,0.00407000,0.00407000,0.00407000
1986-10-07,1.0000,-0.00616000,-0.00616000,-0.00616000
1986-10-08,1.0000,0.00733000,0.00733000,0.00733000
1986-10-09,1.0000,-0.00069000,-0.00069000,-0.00069000
1986-10-10,1.0000,0.00509000,0.00509000,0.00509000
1986-10-13,1.0000,0.00578000,0.00578000,0.00578000
1986-10-14,1.0000,0.00209000,0.00209000,0.00209000
1986-10-15,1.0000,0.00808000,0.00808000,0.00808000
1986-10-16,1.0000,-0.00138000,-0.00138000,-0.00138000
1986-10-17,1.0000,-0.00494000,-0.00494000,-0.00494000
1986-10-20,1.0000,-0.00773000,-0.00773000,-0.00773000
1986-10-21,1.0000,-0.00123000,-0.00123000,-0.00123000
1986-10-22,1.0000,0.00270000,0.00270000,0.00270000
1986-10-23,1.0000,0.01321000,0.01321000,0.01321000
1986-10-24,1.0000,-0.00128000,-0.00128000,-0.00128000
1986-10-27,1.0000,-0.00142000,-0.00142000,-0.00142000
1986-10-28,1.0000,0.00521000,0.00521000,0.00521000
1986-10-29,1.0000,0.00448000,0.00448000,0.00448000
1986-10-30,1.0000,0.01155000,0.01155000,0.01155000
1986-10-31,1.0000,-0.00205000,-0.00205000,-0.00205000
1986-11-03,1.0000,0.00231000,0.00231000,0.00231000
1986-11-04,1.0000,0.00800000,0.00800000,0.00800000
1986-11-05,1.0000,0.00150000,0.00150000,0.00150000
1986-11-06,1.0000,-0.00524000,-0.00524000,-0.00524000
1986-11-07,1.0000,-0.00341000,-0.00341000,-0.00341000
1986-11-10,1.0000,-0.00422000,-0.00422000,-0.00422000
1986-11-11,1.0000,0.00734000,0.00734000,0.00734000
1986-11-12,1.0000,0.00161000,0.00161000,0.00161000
1986-11-13,1.0000,-0.01485000,-0.01485000,-0.01485000
1986-11-14,1.0000,0.00065000,0.00065000,0.00065000
1986-11-17,1.0000,-0.00214000,-0.00214000,-0.00214000
1986-11-18,1.0000,-0.01768000,-0.01768000,-0.01768000
1986-11-19,1.0000,-0.00790000,-0.00790000,-0.00790000
1986-11-20,1.0000,0.01267000,0.01267000,0.01267000
1986-11-21,1.0000,0.01128000,0.01128000,0.01128000
1986-11-24,1.0000,0.01119000,0.01119000,0.01119000
1986-11-25,1.0000,0.00885000,0.00885000,0.00885000
1986-11-26,1.0000,0.00757000,0.00757000,0.00757000
1986-11-28,1.0000,0.00731000,0.00731000,0.00731000
1986-12-01,1.0000,-0.00731000,-0.00731000,-0.00731000
1986-12-02,1.0000,0.01371000,0.01371000,0.01371000
1986-12-03,1.0000,0.00819000,0.00819000,0.00819000
1986-12-04,1.0000,-0.00064000,-0.00064000,-0.00064000
1986-12-05,1.0000,-0.00621000,-0.00621000,-0.00621000
1986-12-08,1.0000,-0.00803000,-0.00803000,-0.00803000
1986-12-09,1.0000,-0.00660000,-0.00660000,-0.00660000
1986-12-10,1.0000,0.00064000,0.00064000,0.00064000
1986-12-11,1.0000,-0.00593000,-0.00593000,-0.00593000
1986-12-12,1.0000,-0.00751000,-0.00751000,-0.00751000
1986-12-15,1.0000,-0.00622000,-0.00622000,-0.00622000
1986-12-16,1.0000,0.00290000,0.00290000,0.00290000
1986-12-17,1.0000,-0.00998000,-0.00998000,-0.00998000
1986-12-18,1.0000,-0.00130000,-0.00130000,-0.00130000
1986-12-19,1.0000,0.00643000,0.00643000,0.00643000
1986-12-22,1.0000,0.00221000,0.00221000,0.00221000
1986-12-23,1.0000,-0.00886000,-0.00886000,-0.00886000
1986-12-24,1.0000,-0.00005000,-0.00005000,-0.00005000
1986-12-26,1.0000,0.00100000,0.00100000,0.00100000
1986-12-29,1.0000,-0.00991000,-0.00991000,-0.00991000
1986-12-30,1.0000,0.00009000,0.00009000,0.00009000
1986-12-31,1.0000,-0.00082000,-0.00082000,-0.00082000
1987-01-02,1.0000,0.01031000,0.01031000,0.01031000
1987-01-05,1.0000,0.03184000,0.03184000,0.03184000
1987-01-06,1.0000,0.01125000,0.01125000,0.01125000
1987-01-07,1.0000,0.02629000,0.02629000,0.02629000
1987-01-08,1.0000,0.01777000,0.01777000,0.01777000
1987-01-09,1.0000,0.00837000,0.00837000,0.00837000
1987-01-12,1.0000,0.01477000,0.01477000,0.01477000
1987-01-13,1.0000,0.00200000,0.00200000,0.00200000
1987-01-14,1.0000,0.01907000,0.01907000,0.01907000
1987-01-15,1.0000,0.00915000,0.00915000,0.00915000
1987-01-16,1.0000,-0.00991000,-0.00991000,-0.00991000
1987-01-19,1.0000,0.02427000,0.02427000,0.02427000
1987-01-20,1.0000,0.00041000,0.00041000,0.00041000
1987-01-21,1.0000,-0.01355000,-0.01355000,-0.01355000
1987-01-22,1.0000,0.02246000,0.02246000,0.02246000
1987-01-23,1.0000,-0.00700000,-0.00700000,-0.00700000
1987-01-26,1.0000,-0.01572000,-0.01572000,-0.01572000
1987-01-27,1.0000,0.01535000,0.01535000,0.01535000
1987-01-28,1.0000,0.00584000,0.00584000,0.00584000
1987-01-29,1.0000,-0.01122000,-0.01122000,-0.01122000
1987-01-30,1.0000,0.00567000,0.00567000,0.00567000
1987-02-02,1.0000,0.02180000,0.02180000,0.02180000
1987-02-03,1.0000,0.00736000,0.00736000,0.00736000
1987-02-04,1.0000,0.01136000,0.01136000,0.01136000
